wl_home,season,days_between_games_home,avg_min_home,avg_fgm_home,avg_fga_home,avg_3pm_home,avg_3pa_home,avg_ftm_home,avg_fta_home,avg_oreb_home,avg_dreb_home,avg_treb_home,avg_ast_home,avg_stl_home,avg_blk_home,avg_tov_home,avg_pf_home,avg_pts_home,avg_plus_minus_home,avg_3pm_diff_home,avg_ftm_diff_home,avg_reb_diff_home,avg_win_home,avg_fg_pct_home,avg_3p_pct_home,avg_ft_pct_home,avg_true_pct_home,days_between_games_away,avg_min_away,avg_fgm_away,avg_fga_away,avg_3pm_away,avg_3pa_away,avg_ftm_away,avg_fta_away,avg_oreb_away,avg_dreb_away,avg_treb_away,avg_ast_away,avg_stl_away,avg_blk_away,avg_tov_away,avg_pf_away,avg_pts_away,avg_plus_minus_away,avg_3pm_diff_away,avg_ftm_diff_away,avg_reb_diff_away,avg_win_away,avg_fg_pct_away,avg_3p_pct_away,avg_ft_pct_away,avg_true_pct_away
1,2019,2,240.0,44.0,100.0,13.0,37.0,27.0,29.0,14.0,40.0,54.0,21.0,9.0,10.0,17.0,26.0,128.0,9.0,6.0,5.0,8.0,1.0,0.44,0.35135135135135137,0.9310344827586207,0.5675771550195104,3,240.0,40.0,93.0,11.0,25.0,21.0,29.0,19.0,33.0,52.0,22.0,3.0,4.0,12.0,22.0,112.0,4.0,5.0,-3.0,6.0,1.0,0.43010752688172044,0.44,0.7241379310344828,0.529500756429652
1,2019,1,240.0,42.5,85.0,8.0,22.0,13.0,20.0,11.0,38.0,49.0,21.5,4.5,5.0,18.5,24.5,106.0,5.5,-5.5,-5.0,10.0,0.5,0.5,0.36363636363636365,0.65,0.5650319829424307,1,240.0,38.5,78.5,8.5,28.5,18.0,23.0,8.5,38.5,47.0,25.0,5.5,5.5,20.5,23.0,103.5,-0.5,1.0,-0.5,6.0,0.5,0.49044585987261147,0.2982456140350877,0.782608695652174,0.5839539607312119
1,2019,3,240.0,38.0,88.0,10.0,33.0,14.0,20.0,10.0,28.0,38.0,28.0,7.0,5.0,9.0,16.0,100.0,-21.0,-9.0,-0.0,-6.0,0.0,0.4318181818181818,0.30303030303030304,0.7,0.5165289256198348,1,240.0,41.5,89.0,8.0,22.0,28.5,31.0,11.5,31.5,43.0,24.0,9.0,4.5,12.5,24.0,119.5,2.0,-1.5,5.5,-4.5,0.5,0.46629213483146065,0.36363636363636365,0.9193548387096774,0.5821317225253313
0,2019,2,240.0,45.0,93.0,7.0,30.0,22.0,29.0,8.0,38.0,46.0,23.0,10.0,6.0,15.0,26.0,119.0,-9.0,-6.0,-5.0,-8.0,0.0,0.4838709677419355,0.23333333333333334,0.7586206896551724,0.5625945537065052,3,240.0,39.0,92.0,16.0,48.0,18.0,24.0,8.0,29.0,37.0,21.0,8.0,7.0,12.0,22.0,112.0,-19.0,6.0,1.0,-17.0,0.0,0.42391304347826086,0.3333333333333333,0.75,0.5460218408736349
0,2019,2,240.0,44.0,101.0,11.0,33.0,9.0,12.0,5.0,34.0,39.0,28.0,4.0,6.0,12.0,23.0,108.0,-19.0,-1.0,-18.0,-16.0,0.0,0.43564356435643564,0.3333333333333333,0.75,0.5080918328942416,3,240.0,39.0,92.0,6.0,24.0,19.0,22.0,14.0,32.0,46.0,21.0,5.0,5.0,17.0,20.0,103.0,3.0,1.0,4.0,7.0,1.0,0.42391304347826086,0.25,0.8636363636363636,0.5064909520062942
0,2019,2,240.0,38.0,81.0,7.0,26.0,29.0,39.0,7.0,33.0,40.0,19.0,7.0,15.0,14.0,31.0,112.0,-1.0,-5.0,4.0,-15.0,0.0,0.4691358024691358,0.2692307692307692,0.7435897435897436,0.5704971475142625,1,240.0,44.0,92.0,13.5,34.0,13.0,19.5,10.0,36.0,46.0,22.5,4.5,5.0,11.5,24.0,114.5,12.0,3.0,-5.0,-3.0,1.0,0.4782608695652174,0.39705882352941174,0.6666666666666666,0.5691986478425134
0,2019,1,240.0,42.0,98.0,10.5,30.5,21.0,25.5,11.0,30.0,41.0,17.5,11.0,3.5,9.5,21.0,115.5,8.5,-0.5,3.0,-9.0,0.5,0.42857142857142855,0.3442622950819672,0.8235294117647058,0.5287493133125801,1,240.0,41.0,98.0,12.5,36.5,8.5,12.0,14.0,38.0,52.0,25.0,5.5,5.5,15.5,23.5,103.0,3.0,3.5,-5.5,4.0,0.5,0.41836734693877553,0.3424657534246575,0.7083333333333334,0.4986444616576297
1,2019,3,240.0,33.0,87.0,8.0,24.0,33.0,42.0,14.0,42.0,56.0,20.0,6.0,9.0,11.0,22.0,107.0,9.0,-0.0,13.0,9.0,1.0,0.3793103448275862,0.3333333333333333,0.7857142857142857,0.5072051573758058,3,240.0,44.0,81.0,19.0,34.0,14.0,16.0,6.0,38.0,44.0,35.0,5.0,2.0,12.0,22.0,121.0,21.0,9.0,0.0,6.0,1.0,0.5432098765432098,0.5588235294117647,0.875,0.6871876419809178
1,2019,2,240.0,39.0,90.0,8.5,31.0,20.5,26.5,8.5,42.5,51.0,24.0,9.0,6.5,14.5,18.5,107.0,0.5,-2.5,11.0,4.0,0.5,0.43333333333333335,0.27419354838709675,0.7735849056603774,0.5262640173126106,1,240.0,37.5,94.0,6.5,28.0,14.5,22.5,13.0,34.5,47.5,19.0,7.5,7.0,15.0,20.5,96.0,-14.5,-6.5,-2.0,-6.0,0.5,0.39893617021276595,0.23214285714285715,0.6444444444444445,0.4619826756496631
1,2019,1,240.0,38.0,86.0,8.5,26.0,28.5,35.5,11.5,43.5,55.0,24.0,9.0,7.5,14.5,26.5,113.0,18.5,-1.0,7.5,11.5,1.0,0.4418604651162791,0.3269230769230769,0.8028169014084507,0.555992914780555,2,240.0,45.5,91.0,8.5,22.5,16.5,18.0,12.5,38.0,50.5,27.5,8.5,6.5,18.5,26.0,116.0,4.5,-6.0,-7.5,9.0,1.0,0.5,0.37777777777777777,0.9166666666666666,0.5863323898099474
